Barrio_Localidad,CANTIDAD_HURTOS,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,TP27_PERSO,TP9_1_USO,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,Num_Colegios,Num_Cai,Distancia_CAI
SANTA RITA III SECTOR-PUENTE ARANDA,11,0,1,2,3,1,2,2,2301.0,792.0,2.0,19.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1058.296676038475
SANTA RITA SUR ORIENTAL-SAN CRISTÓBAL,20,1,2,2,2,2,4,7,6286.0,1783.0,1.0,37.0,7.0,0.0,5.0,16.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,637.021480119309
SANTA RITA-SUBA,75,14,9,9,7,13,13,10,762.0,250.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,946.1347963025954
SANTA ROSA DE LIMA-SANTA FE,3,0,0,0,0,0,1,2,1621.0,530.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.3942292728123
SANTA ROSA-ENGATIVÁ,121,11,19,10,19,19,24,19,3678.0,1498.0,0.0,87.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.457272870684
SANTA ROSA-SUBA,76,6,11,14,11,11,7,16,4212.0,1662.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.2662476535863
SANTA ROSITA-ENGATIVÁ,80,6,11,15,7,10,13,18,10775.0,3686.0,15.0,253.0,70.0,0.0,13.0,5.0,2.0,0.0,0.0,15.0,0.0,5.0,0.0,428.51989964578325
SANTA SOFIA SUR-RAFAEL URIBE,7,0,1,1,0,2,0,3,1096.0,364.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,575.7389926735257
SANTA SOFIA-BARRIOS UNIDOS,74,5,7,5,14,13,17,13,1834.0,698.0,101.0,136.0,124.0,0.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,701.9974157763461
SANTA TERESA-USAQUÉN,71,4,8,7,9,15,14,14,9341.0,3535.0,11.0,45.0,40.0,0.0,5.0,10.0,4.0,0.0,0.0,3.0,1.0,5.0,0.0,870.9335795905426
SANTA TERESITA-TEUSAQUILLO,66,3,16,5,8,8,13,13,3055.0,1799.0,6.0,73.0,42.0,0.0,40.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,469.5795150647388
SANTA VIVIANA SECTOR VISTA HERMOSA-CIUDAD BOLÍVAR,2,0,1,1,0,0,0,0,529.0,158.0,0.0,8.0,1.0,0.0,3.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,881.501793558947
SANTA VIVIANA-CIUDAD BOLÍVAR,30,4,7,8,5,1,3,2,6233.0,1542.0,2.0,46.0,26.0,0.0,7.0,14.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,605.9582759795444
SANTANDER-ANTONIO NARIÑO,110,9,20,14,9,25,17,16,3469.0,1150.0,106.0,112.0,64.0,0.0,8.0,4.0,1.0,0.0,0.0,11.0,0.0,5.0,0.0,883.3594952399869
SANTANDER-FONTIBÓN,15,3,1,2,2,2,5,0,2292.0,781.0,14.0,82.0,88.0,0.0,4.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,810.5058703934459
SANTIAGO DE LAS ATALAYAS-BOSA,41,4,10,6,5,2,6,8,8131.0,2287.0,1.0,105.0,41.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,553.4590504784842
SANTIAGO PEREZ-RAFAEL URIBE,28,0,3,2,3,8,3,9,1926.0,642.0,54.0,78.0,38.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,455.9856400810631
SANTO DOMINGO-CIUDAD BOLÍVAR,20,1,1,5,4,1,6,2,2742.0,817.0,1.0,22.0,11.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,307.78167051765064
SANTO DOMINGO-ENGATIVÁ,6,0,3,0,1,1,1,0,316.0,113.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.1610962714053
SATURNO-FONTIBÓN,9,0,2,2,2,1,0,2,752.0,249.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,700.4706271021613
SAUCES II-BOSA,5,0,1,1,1,1,1,0,463.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,539.6594291752057
SELVA DORADA-FONTIBÓN,4,0,1,2,0,0,1,0,1157.0,384.0,12.0,17.0,25.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.113625840487
SEMINARIO-CHAPINERO,5,1,0,0,1,1,0,2,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.7198790563166
SENA-ANTONIO NARIÑO,46,6,3,8,6,9,8,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.5564021559025
SENDEROS DE CASTILLA-KENNEDY,8,3,1,0,1,0,1,2,587.0,254.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.2539339114701
SENDEROS DE SUBA-SUBA,3,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.50580014913974
SERRANIAS-USME,15,1,4,4,1,1,3,1,1917.0,573.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,498.6023976014172
SEVILLA-ANTONIO NARIÑO,50,3,6,10,10,7,3,11,1503.0,540.0,11.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.72201600245
SIBERIA CENTRAL-CHAPINERO,35,0,8,6,7,6,5,3,280.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.8010029331585
SIDEL - TERRAZAS DE ORIENTE-SAN CRISTÓBAL,1,0,0,1,0,0,0,0,238.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.7946611715974
SIERRA MORENA-CIUDAD BOLÍVAR,131,10,22,15,25,19,20,20,12319.0,3479.0,3.0,129.0,53.0,0.0,15.0,24.0,18.0,0.0,1.0,6.0,1.0,5.0,0.0,1211.339430111204
SIERRA MORENA-USME,4,1,0,1,0,1,1,0,1185.0,350.0,2.0,7.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1132.9441884659125
SIERRAS DEL CHICO-CHAPINERO,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.1896721440546
SIETE DE AGOSTO-BARRIOS UNIDOS,318,18,58,29,58,53,51,51,2495.0,1087.0,41.0,831.0,287.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,572.8664718639819
SIMON BOLIVAR-BARRIOS UNIDOS,86,13,14,10,16,8,17,8,5977.0,2227.0,15.0,134.0,101.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1102.6203367406238
SOCORRO III SECTOR-RAFAEL URIBE,10,0,0,3,2,0,3,2,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.4449744704882
SORATAMA-USAQUÉN,11,1,1,4,2,1,1,1,3905.0,1101.0,1.0,28.0,9.0,0.0,2.0,7.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,866.6181187222559
SOSIEGO SUR-RAFAEL URIBE,97,10,19,11,16,11,11,19,489.0,160.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.7282262735447
SOTAVENTO II SECTOR-CIUDAD BOLÍVAR,1,0,0,1,0,0,0,0,500.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.7013377769572
SOTAVENTO-CIUDAD BOLÍVAR,28,4,5,8,4,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,830.5037699890338
SOTILEZA-SUBA,24,0,6,2,0,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.145587350486
SUBA LINDA-SUBA,73,5,13,7,10,18,11,9,1494.0,567.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.4468543021082
SUBA URBANO-SUBA,208,14,28,22,33,32,40,39,1333.0,503.0,0.0,79.0,14.0,0.0,9.0,4.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,849.2832997318811
SUBATA-SUBA,15,2,2,3,3,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.5371149394712
SUCRE-CHAPINERO,128,11,25,21,21,20,7,23,4685.0,3254.0,6.0,254.0,128.0,0.0,10.0,1.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,886.7016352530843
SUMAPAZ-KENNEDY,3,1,0,0,2,0,0,0,2203.0,718.0,11.0,13.0,26.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1220.1849190346795
SURAMERICA-SAN CRISTÓBAL,22,1,2,3,4,1,4,7,2002.0,442.0,2.0,177.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,608.3712859057556
TABERIN-SUBA,2,0,0,0,0,0,1,1,3281.0,983.0,2.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,762.0486850080421
TABOR ALTALOMA-CIUDAD BOLÍVAR,1,0,0,0,0,0,1,0,1133.0,330.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.2140838716285
TABORA-ENGATIVÁ,166,14,33,14,25,28,31,21,10546.0,3766.0,5.0,179.0,205.0,0.0,24.0,2.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,308.9612595242492
TALAVERA-KENNEDY,8,0,0,3,1,2,0,2,1150.0,368.0,6.0,26.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,729.4561069656318
TAYRONA-KENNEDY,1,0,0,0,0,0,0,1,2072.0,650.0,1.0,30.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,381.4658975624501
