Barrio_Localidad,CANTIDAD_HURTOS,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,TP27_PERSO,TP9_1_USO,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,Num_Colegios,Num_Cai,Distancia_CAI
LA SERENA-ENGATIVÁ,91,6,20,14,10,14,15,12,1939.0,581.0,3.0,7.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,237.61576920637933
LA SIERRA-SAN CRISTÓBAL,2,1,0,0,0,0,0,1,730.0,233.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.16233583009375
LA SOLEDAD-TEUSAQUILLO,293,20,53,35,48,49,42,46,6965.0,3441.0,12.0,238.0,295.0,0.0,43.0,3.0,0.0,1.0,2.0,12.0,4.0,4.0,1.0,217.1353823780826
LA SULTANA-SUBA,6,0,2,0,0,2,1,1,1682.0,714.0,0.0,1.0,17.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,882.8217155202657
LA SUREÑA-CHAPINERO,2,0,0,1,0,0,1,0,2141.0,707.0,2.0,39.0,9.0,0.0,1.0,9.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,998.1145388783608
LA TORTIGUA-ENGATIVÁ,3,0,1,0,0,0,2,0,1075.0,370.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.672374386769
LA TOSCANA-SUBA,83,8,11,18,14,12,9,11,3397.0,1056.0,0.0,58.0,29.0,0.0,11.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,761.9545663592312
LA TRINIDAD-PUENTE ARANDA,40,2,5,5,8,9,7,4,3885.0,1304.0,136.0,75.0,72.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,594.6570895248083
LA UNIDAD-KENNEDY,6,1,0,1,1,0,1,2,2901.0,865.0,3.0,40.0,2.0,0.0,4.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,850.2995614658256
LA URIBE-USAQUÉN,163,17,19,21,29,27,19,31,2231.0,843.0,23.0,57.0,34.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,546.6900513410337
LA VEGA-BOSA,1,0,0,0,0,0,1,0,1201.0,363.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,665.6278460980432
LA VICTORIA NORTE-SUBA,71,9,11,6,10,12,5,18,8089.0,3947.0,0.0,117.0,187.0,0.0,11.0,5.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,1456.527136887971
LA VICTORIA-SAN CRISTÓBAL,160,15,20,23,27,23,23,29,627.0,165.0,0.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.3478040336098
LAGO DE SUBA-SUBA,35,4,3,4,4,7,8,5,11341.0,3753.0,9.0,127.0,42.0,0.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,303.5535914569802
LAGO GAITAN-CHAPINERO,151,14,15,19,27,21,24,31,1747.0,925.0,0.0,113.0,230.0,0.0,20.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,585.0022778960057
LAGOS DE CASTILLA-KENNEDY,12,0,2,0,3,5,1,1,1038.0,347.0,10.0,3.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,630.2422351933502
LAGOS DE CORDOBA-SUBA,34,6,4,3,4,4,5,8,3635.0,1599.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,526.0166444740319
LAGUNETA-TUNJUELITO,9,2,0,1,2,2,1,1,2550.0,922.0,7.0,43.0,25.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,620.8551285351239
LAS ACACIAS-CHAPINERO,7,0,0,1,1,0,3,2,2179.0,1078.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,664.7698480041894
LAS ACACIAS-KENNEDY,6,3,0,0,0,0,0,3,1300.0,430.0,10.0,13.0,13.0,1.0,1.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2313.3570883639522
LAS ACACIAS-SAN CRISTÓBAL,1,0,0,0,0,0,0,1,67.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.4970884007622
LAS ACACIAS-USAQUÉN,22,0,0,2,1,5,5,9,5324.0,2614.0,0.0,14.0,93.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1463.9380444923904
LAS AGUAS-CANDELARIA,225,12,40,26,35,33,25,54,2347.0,1158.0,1.0,58.0,38.0,0.0,11.0,4.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,518.587657982133
LAS AGUAS-SANTA FE,374,15,71,44,48,60,43,93,2144.0,1641.0,5.0,57.0,62.0,0.0,12.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,154.5657712517413
LAS AMERICAS-KENNEDY,45,2,9,3,10,5,9,7,5445.0,1880.0,11.0,75.0,84.0,0.0,25.0,2.0,4.0,0.0,0.0,8.0,0.0,5.0,0.0,1033.5831522620513
LAS AMERICAS-TEUSAQUILLO,50,3,9,8,9,7,4,10,1760.0,785.0,3.0,75.0,98.0,0.0,30.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,601.4194651703073
LAS ARENERAS-USAQUÉN,1,0,0,0,1,0,0,0,880.0,298.0,0.0,17.0,13.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,669.4157742845772
LAS BRISAS-FONTIBÓN,9,2,2,0,1,0,2,2,362.0,124.0,15.0,8.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1688.2666823810462
LAS BRISAS-KENNEDY,9,0,1,1,3,0,0,4,8515.0,2767.0,38.0,268.0,100.0,0.0,3.0,14.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1323.9737938261853
LAS BRISAS-SAN CRISTÓBAL,24,5,2,3,3,3,6,2,1302.0,373.0,2.0,10.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,389.22692931971267
LAS BRISAS-SUBA,1,0,0,0,0,0,0,1,39.0,18.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.1672764064672
LAS COLINAS-RAFAEL URIBE,24,3,6,4,3,4,2,2,2735.0,974.0,0.0,16.0,6.0,0.0,3.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,418.7875752893054
LAS CRUCES-SANTA FE,207,27,28,34,35,32,33,18,9904.0,3842.0,15.0,193.0,70.0,0.0,9.0,16.0,11.0,0.0,0.0,22.0,0.0,2.0,1.0,224.48415441387345
LAS DELICIAS DEL SUR-CIUDAD BOLÍVAR,15,1,1,0,2,6,2,3,4996.0,1476.0,0.0,3.0,0.0,0.0,3.0,10.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,28.41905455191094
LAS DELICIAS-KENNEDY,134,14,15,16,28,18,24,19,2703.0,922.0,27.0,21.0,16.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,327.80917383131106
LAS DELICIAS-USME,3,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,517.7655553849894
LAS FERIAS OCCIDENTAL-ENGATIVÁ,86,8,7,14,7,14,13,23,9487.0,3207.0,75.0,529.0,233.0,0.0,12.0,3.0,3.0,0.0,0.0,6.0,7.0,3.0,1.0,579.6340029431724
LAS FERIAS-ENGATIVÁ,545,63,77,68,66,89,87,95,7634.0,3044.0,199.0,517.0,127.0,2.0,15.0,5.0,3.0,0.0,0.0,8.0,1.0,7.0,0.0,673.4962958029402
LAS FLORES-FONTIBÓN,1,0,1,0,0,0,0,0,1114.0,354.0,30.0,7.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,301.78384352325736
LAS FLORES-SUBA,125,6,14,21,20,22,19,23,1002.0,351.0,1.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.4112257198897
LAS FLORES-USME,3,0,0,2,1,0,0,0,467.0,143.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.7259916746242
LAS HUERTAS-CIUDAD BOLÍVAR,1,0,0,0,0,1,0,0,2054.0,615.0,1.0,9.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,840.1275762014736
LAS LOMAS-RAFAEL URIBE,70,8,9,11,8,10,12,12,4484.0,1318.0,0.0,14.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,6.0,0.0,1.0,1.0,317.2702066171661
LAS LUCES-KENNEDY,9,1,3,1,1,0,2,1,3284.0,1038.0,11.0,10.0,18.0,0.0,1.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,212.54922247021807
LAS MANITAS-CIUDAD BOLÍVAR,9,0,1,2,3,2,1,0,607.0,178.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,464.68755162911367
LAS MARGARITAS III-BOSA,3,0,0,0,0,1,1,1,3640.0,1080.0,11.0,141.0,47.0,0.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,533.2551128655925
LAS MARGARITAS-BOSA,60,7,10,7,9,7,7,13,766.0,318.0,0.0,31.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.779568658219
LAS MARGARITAS-KENNEDY,267,17,44,47,57,31,33,38,11755.0,3830.0,0.0,6.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,371.3203510545004
LAS MARGARITAS-SUBA,11,1,2,1,3,0,1,3,3526.0,1183.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,254.01166804975907
LAS MARGARITAS-USAQUÉN,94,9,14,13,16,12,13,17,1352.0,542.0,2.0,74.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.7007152926392
LAS MERCEDES-ENGATIVÁ,14,2,3,1,1,0,4,3,3617.0,1162.0,4.0,17.0,27.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,520.2215229212602
LAS MERCEDES-SAN CRISTÓBAL,21,2,4,3,5,5,1,1,326.0,74.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.3426743827158
LAS MERCEDES-USME,1,0,0,0,1,0,0,0,543.0,166.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.85928274964877
LAS NIEVES-SANTA FE,907,104,127,90,120,154,132,180,5951.0,3906.0,4.0,606.0,654.0,0.0,57.0,10.0,4.0,0.0,0.0,12.0,3.0,2.0,0.0,388.91590181813723
LAS ORQUIDEAS-USAQUÉN,67,5,8,5,12,14,13,10,6474.0,2328.0,121.0,366.0,269.0,4.0,12.0,23.0,3.0,0.0,0.0,13.0,1.0,2.0,0.0,326.1519326983918
LAS PALMAS NORTE-ENGATIVÁ,1,0,0,0,0,0,1,0,1207.0,349.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.2363005405463
LAS PALMERAS-ENGATIVÁ,2,1,1,0,0,0,0,0,509.0,134.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.9347489896232
LAS PALMERAS-KENNEDY,2,0,1,1,0,0,0,0,1262.0,310.0,0.0,15.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.9038910735326
LAS PALMITAS-KENNEDY,9,3,2,2,1,1,0,0,1530.0,418.0,3.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2060.7631813440817
LAS TORRES-KENNEDY,3,0,1,0,1,0,1,0,1055.0,330.0,11.0,12.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,568.1221373094941
LAS VEGAS DE POTOSI-CIUDAD BOLÍVAR,3,0,0,0,2,0,1,0,67.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.1423059724837
LAS VEGAS-KENNEDY,5,2,2,0,0,1,0,0,5866.0,1751.0,7.0,28.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.1428336013876
LAS VILLAS DE MARIANA-SUBA,4,0,1,0,1,1,1,0,804.0,446.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.3370408462026
LAS VIVIENDAS-USME,2,0,0,1,0,1,0,0,611.0,185.0,0.0,20.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,653.9016860759367
LAURELES LA ESTACION-BOSA,46,2,10,12,8,4,6,4,298.0,113.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.85890919775187
LILIANA-USME,2,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.5893764244424
LINTERAMA-ENGATIVÁ,7,1,1,1,2,0,2,0,4206.0,1356.0,11.0,109.0,38.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1147.5608064401197
LISBOA-SUBA,151,27,28,16,17,22,21,20,15635.0,5143.0,11.0,224.0,119.0,0.0,5.0,32.0,2.0,0.0,0.0,13.0,2.0,2.0,0.0,1751.2796700268598
LISBOA-USAQUÉN,117,12,27,21,13,17,12,15,8526.0,3727.0,1.0,14.0,63.0,1.0,4.0,1.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,1003.6293338883089
LLANO GRANDE-KENNEDY,19,4,2,3,2,4,2,2,1482.0,457.0,6.0,32.0,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,677.9967946087581
LOMBARDIA II-SUBA,11,1,4,2,0,1,3,0,1915.0,718.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1036.071077647975
LOMBARDIA III-SUBA,2,0,0,0,2,0,0,0,3263.0,1101.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1505.142365321819
LOMBARDIA-SUBA,152,21,26,13,20,18,30,24,4919.0,1643.0,13.0,160.0,94.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,837.8184379865172
LORENZO ALCANTUZ I SECTOR-USME,3,0,1,0,0,0,1,1,1393.0,458.0,2.0,19.0,2.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,518.1100257119069
LOS ALAMOS-ENGATIVÁ,167,15,24,21,27,32,20,28,15.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.5324837942057
LOS ALAMOS-FONTIBÓN,4,1,1,0,0,1,1,0,34.0,11.0,0.0,0.0,7.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.3359387010534
LOS ALCAPARROS DE SUBA-SUBA,10,1,0,1,2,1,2,3,2454.0,885.0,0.0,41.0,0.0,0.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,651.7537265844571
LOS ALCAZARES NORTE-BARRIOS UNIDOS,103,12,18,11,15,18,12,17,734.0,307.0,2.0,39.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,390.435039992171
LOS ALCAZARES-BARRIOS UNIDOS,90,6,13,6,17,11,14,23,1851.0,816.0,101.0,284.0,132.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,287.7686902847739
LOS ALMENDROS II-ENGATIVÁ,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.3852137650532
LOS ALMENDROS-KENNEDY,27,5,3,5,5,3,2,4,5481.0,1541.0,7.0,30.0,17.0,2.0,3.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1761.2832873171794
LOS ALPES DEL ZIPA-SAN CRISTÓBAL,4,3,0,0,0,0,0,1,2979.0,917.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1175.4412956016358
LOS ALPES-CIUDAD BOLÍVAR,26,3,4,5,5,3,1,5,2792.0,944.0,0.0,3.0,9.0,2.0,1.0,46.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,833.3609998084287
LOS ALPES-SAN CRISTÓBAL,26,3,4,3,4,2,5,5,308.0,65.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,307.4241646039233
LOS ANDES-BARRIOS UNIDOS,56,3,10,6,12,8,10,7,4985.0,2029.0,5.0,134.0,259.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,0.0,2.0,0.0,396.5892759256834
LOS ANGELES-ENGATIVÁ,53,4,8,7,4,9,8,13,1695.0,542.0,4.0,14.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,751.7241563991536
LOS ANGELES-PUENTE ARANDA,2,0,0,0,0,1,1,0,2222.0,711.0,4.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,332.9888942585777
LOS ARRAYANES DE SUBA-SUBA,4,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.2069773848614
LOS ARRAYANES II-RAFAEL URIBE,1,0,0,0,0,0,0,1,73.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0834825269832
LOS ARRAYANES-SUBA,3,2,0,0,0,1,0,0,472.0,110.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0612604741045
LOS ARRAYANES-USME,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16534.683843608476
LOS ARREBOLES-SUBA,2,1,0,0,0,1,0,0,489.0,204.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.5125787400225
LOS AZAFRANES-ENGATIVÁ,3,0,0,1,0,2,0,0,1238.0,486.0,0.0,16.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,545.780237793157
LOS CAMBULOS-FONTIBÓN,1,0,0,0,1,0,0,0,869.0,286.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,244.73422978231125
LOS CAOBOS-USAQUÉN,226,16,45,23,36,34,32,40,3164.0,1457.0,3.0,70.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.4654597871523
LOS CEDRITOS-USAQUÉN,52,2,3,7,7,10,8,15,13280.0,6719.0,3.0,55.0,191.0,4.0,9.0,4.0,5.0,0.0,0.0,12.0,2.0,2.0,0.0,613.9213288956223
LOS CEDROS-USAQUÉN,114,5,19,12,21,16,19,22,3477.0,1680.0,2.0,31.0,87.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,252.6465554421834
LOS CEREZOS SAN JOAQUIN-SUBA,1,0,0,0,0,0,0,1,81.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.84226057081534
LOS CEREZOS-ENGATIVÁ,92,8,12,13,10,16,15,18,7587.0,2410.0,5.0,36.0,20.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,297.9135875591348
LOS CERROS-CHAPINERO,3,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.50816858368563
LOS CHIRCALES-RAFAEL URIBE,4,1,1,0,0,0,0,2,1946.0,439.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,763.880133667022
LOS EJIDOS-PUENTE ARANDA,44,5,5,6,9,9,7,3,597.0,290.0,204.0,308.0,57.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,553.5738825136523
LOS LACHES-SANTA FE,47,1,7,8,7,8,10,6,4299.0,1113.0,0.0,45.0,13.0,0.0,6.0,5.0,14.0,0.0,0.0,4.0,0.0,2.0,1.0,194.6296901392868
LOS LAURELES SABANAS DEL DORADO-ENGATIVÁ,7,0,2,2,2,0,0,1,7789.0,2499.0,7.0,84.0,61.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1422.9832700990014
LOS LAURELES-BOSA,49,3,9,11,7,5,8,6,14787.0,5531.0,2.0,19.0,13.0,3.0,1.0,4.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,536.085721718413
LOS LAURELES-ENGATIVÁ,8,0,2,0,0,0,4,2,1279.0,389.0,27.0,9.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1154.2584640820312
LOS LIBERTADORES SECTOR EL TESORO-SAN CRISTÓBAL,1,0,0,0,1,0,0,0,422.0,138.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.42895883173037
LOS LIBERTADORES SECTOR SAN ISIDRO-SAN CRISTÓBAL,1,1,0,0,0,0,0,0,510.0,158.0,0.0,21.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,163.21774842642108
LOS LIBERTADORES SECTOR SAN LUIS-SAN CRISTÓBAL,1,1,0,0,0,0,0,0,233.0,72.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.7409545623604
LOS LIBERTADORES-SAN CRISTÓBAL,30,5,5,3,6,4,2,5,5092.0,1524.0,4.0,68.0,12.0,0.0,3.0,12.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,434.2242126852668
LOS MOLINOS I SECTOR-RAFAEL URIBE,41,2,9,4,5,9,6,6,7121.0,1855.0,4.0,138.0,39.0,0.0,15.0,1.0,2.0,0.0,1.0,10.0,0.0,4.0,0.0,950.8145540009021
LOS MOLINOS II SECTOR-RAFAEL URIBE,29,9,4,4,4,3,4,1,4208.0,1437.0,0.0,8.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,665.4394389609519
LOS MONARCAS-SUBA,1,0,0,0,0,0,0,1,279.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1395.536544642385
LOS MONJES-ENGATIVÁ,114,8,24,10,17,18,18,19,5478.0,2242.0,4.0,52.0,33.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,745.133423409879
LOS NARANJOS-SUBA,26,5,1,4,6,4,3,3,736.0,214.0,3.0,24.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,357.37676171478824
LOS NARANJOS-USAQUÉN,3,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.7512593302107
LOS OLIVOS-CHAPINERO,1,0,0,0,0,0,1,0,291.0,77.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,357.8954467469876
LOS OLIVOS-USAQUÉN,2,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.1465185442451
LOS PIJAOS-RAFAEL URIBE,31,1,6,4,4,6,5,5,2710.0,707.0,0.0,17.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,248.6338118153885
LOS PINARES-SUBA,7,1,0,2,1,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.9330941051935
LOS PINOS DE MARSELLA-KENNEDY,11,2,4,2,0,2,1,0,3654.0,1270.0,2.0,32.0,35.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,223.1040942660598
LOS PINOS FLORENCIA-ENGATIVÁ,19,2,3,8,3,2,1,0,2574.0,1013.0,10.0,18.0,16.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,778.4906908313936
LOS PINOS-SAN CRISTÓBAL,4,2,1,0,0,0,0,1,853.0,280.0,1.0,2.0,5.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,980.7631740287102
LOS PINOS-SUBA,6,1,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.0076628422844
LOS PORTALES DEL NORTE III-SUBA,12,0,2,3,1,4,0,2,1034.0,353.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,741.892564470872
LOS PUENTES-SAN CRISTÓBAL,1,0,1,0,0,0,0,0,676.0,153.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,255.93389258164189
LOS ROBLES-SUBA,2,0,0,0,1,1,0,0,748.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.1521882871036
LOS ROSALES-CHAPINERO,176,13,35,20,21,28,24,35,5079.0,2556.0,0.0,25.0,14.0,0.0,5.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,314.75977735265064
LOS SAUCES-BOSA,19,2,1,3,5,2,6,0,184.0,72.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.6849371785008
LOS SOCHES-USME,2,0,0,0,0,1,0,1,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.3610302606257
LOS TRES REYES II SECTOR-CIUDAD BOLÍVAR,6,0,1,1,0,1,2,1,3014.0,948.0,6.0,22.0,9.0,1.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,793.6081581299682
LOURDES II-SANTA FE,1,0,0,0,0,1,0,0,154.0,39.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.7548429445215
