Barrio_Localidad,Cantidad,Domingo,Jueves,Lunes,Martes,Miércoles,Sábado,Viernes,Coordenadas
SANTA BIBIANA-USAQUÉN,188,10,32,32,24,25,25,40,"[[[-74.045865375, 4.690458933999991], [-74.04609340299999, 4.690150952999999], [-74.046271155, 4.6899045430000115], [-74.046473472, 4.689632044000006], [-74.04659052900001, 4.689463905000025], [-74.04670037, 4.689239229999998], [-74.04688680999999, 4.688860905000012], [-74.04697930700002, 4.688676816999986], [-74.04713683900002, 4.688373867999985], [-74.04729582200002, 4.688033228999984], [-74.04739121400002, 4.687808553000024], [-74.04752129600001, 4.687486755000009], [-74.04765139, 4.687088125999991], [-74.04777571800003, 4.686602520000008], [-74.04782631900002, 4.686389431999998], [-74.0479449, 4.685682031999988], [-74.04807936700001, 4.685023922000027], [-74.04810849, 4.684909398000002], [-74.04812624800002, 4.684853136000015], [-74.048360307, 4.684961461999989], [-74.05001529600003, 4.685467836999976], [-74.05220328399997, 4.6858899299999734], [-74.057245954, 4.686822458999984], [-74.05711759399998, 4.6875869689999945], [-74.05620065900001, 4.6930481580000105], [-74.056099829, 4.693648687000006], [-74.055542662, 4.693541208999988], [-74.05496350300001, 4.693438496999988], [-74.05404001699998, 4.693288033999977], [-74.053126614, 4.693139014999985], [-74.05170172599998, 4.692902332000016], [-74.05131807499998, 4.692819295999981], [-74.05105388800001, 4.692747801999985], [-74.05086091800001, 4.692680929000005], [-74.05026593299999, 4.692436511999972], [-74.04952622500002, 4.692113703000018], [-74.04868084600002, 4.691735556000026], [-74.047936547, 4.691398913999989], [-74.046372142, 4.690697956999997], [-74.045865375, 4.690458933999991]]]"
SANTA CATALINA-KENNEDY,30,3,4,5,6,2,5,5,"[[[-74.15543394600002, 4.607243104000019], [-74.154935744, 4.607202932999996], [-74.15406767000002, 4.607114430000024], [-74.154024784, 4.607109051000009], [-74.15421624099997, 4.6066034820000255], [-74.154509996, 4.605756026999984], [-74.15481799000003, 4.6049222930000155], [-74.15499331000001, 4.604984331000025], [-74.15499618199999, 4.604985348000013], [-74.15592263500002, 4.605291874999977], [-74.15658584599998, 4.6055157210000175], [-74.15674893200003, 4.605570764999981], [-74.15683153999998, 4.605606152000007], [-74.157711291, 4.606026851000024], [-74.15803521100003, 4.606178026999998], [-74.15687150100001, 4.606848911999975], [-74.15657440799998, 4.607310063999989], [-74.15597557699999, 4.607286774999977], [-74.15543394600002, 4.607243104000019]]]"
SANTA CATALINA-SUBA,27,1,8,2,3,6,6,1,"[[[-74.049215823, 4.762382375000015], [-74.04888713399998, 4.7621461179999764], [-74.04814190100001, 4.761599785999976], [-74.048084518, 4.761556402999985], [-74.04760233600001, 4.761191859999996], [-74.04752036000002, 4.761130219999984], [-74.04807285200002, 4.760333546000026], [-74.049553946, 4.76102911800001], [-74.04987074899998, 4.760638072000006], [-74.05050030000001, 4.759811167000009], [-74.050824057, 4.759399588000008], [-74.05112069299997, 4.759538701999986], [-74.05192036599999, 4.759908729000017], [-74.05166987400003, 4.760235322000028], [-74.051350103, 4.760646344999997], [-74.050980734, 4.761124127000016], [-74.050552197, 4.7616646660000015], [-74.04976559599999, 4.762697897000009], [-74.0497302, 4.762752100999989], [-74.049215823, 4.762382375000015]]]"
SANTA CECILIA I-SUBA,36,1,6,7,3,5,11,3,"[[[-74.12568132799998, 4.74077859099998], [-74.12557376500001, 4.740448463000007], [-74.12552856899998, 4.740286903000026], [-74.125554851, 4.7402791740000225], [-74.125705015, 4.740275413999995], [-74.126125479, 4.740154909000011], [-74.12657973400002, 4.739947781000012], [-74.127011466, 4.739661559000012], [-74.12722170400002, 4.739431823000018], [-74.12767973500002, 4.738603253999997], [-74.12752958300001, 4.7382868799999756], [-74.12761595, 4.737654146000011], [-74.128269165, 4.737560012000017], [-74.12869713499998, 4.737465869999994], [-74.12900121500002, 4.737503543999992], [-74.12924776, 4.737495100999979], [-74.12943668000003, 4.737816076000001], [-74.12954097800002, 4.738480901000002], [-74.129650631, 4.738979485000015], [-74.130513979, 4.739166728999975], [-74.13100607899997, 4.739423661999978], [-74.13121605499998, 4.739520347999985], [-74.131226261, 4.739525046999972], [-74.13090930200002, 4.7396779599999945], [-74.129566022, 4.740281245000005], [-74.12837167999999, 4.740797134999979], [-74.12761011100002, 4.741124145000014], [-74.12672489099998, 4.741518814000016], [-74.12595770000001, 4.7418486419999795], [-74.12528324599998, 4.742141821000018], [-74.12482039600002, 4.742319580000014], [-74.12467196300003, 4.741933988000028], [-74.124567565, 4.741597510000019], [-74.12478904699998, 4.741549904999999], [-74.12490928099999, 4.741527689999998], [-74.125020022, 4.741495951999979], [-74.12506748300001, 4.7414769079999814], [-74.125206703, 4.7413975570000275], [-74.12534592399999, 4.741289637000022], [-74.125469324, 4.7411690199999725], [-74.12564968599997, 4.7408420759999785], [-74.12568132799998, 4.74077859099998]]]"
SANTA CECILIA NORTE PARTE ALTA-USAQUÉN,3,0,0,0,1,0,1,1,"[[[-74.02088711099998, 4.7380282020000095], [-74.020869941, 4.738024138000014], [-74.02082624100001, 4.738013794999972], [-74.020771062, 4.738000735000014], [-74.020720262, 4.737988711000014], [-74.020666259, 4.737975930999994], [-74.02061603700002, 4.737964044000023], [-74.02056722100002, 4.737952489000008], [-74.02050958199999, 4.7379388470000094], [-74.02048073999998, 4.737932020000016], [-74.02044647999998, 4.7379502079999725], [-74.02043071700001, 4.737958576999972], [-74.020189458, 4.737955578000026], [-74.01994230899999, 4.737982095999996], [-74.01975400600003, 4.737999770999977], [-74.01979524199999, 4.737763638999979], [-74.01973345699997, 4.737757724000005], [-74.01951869700002, 4.737654369999972], [-74.01940395499997, 4.73763663699998], [-74.01912446199998, 4.7375598379999815], [-74.019089162, 4.73752736099999], [-74.01903031900002, 4.7375273499999935], [-74.01894794100002, 4.737512575999971], [-74.01883319500001, 4.737509600999999], [-74.01866548700002, 4.737533182999982], [-74.01815322300001, 4.737354997000011], [-74.01860244300002, 4.73739941399998], [-74.01887491999997, 4.737424094999994], [-74.01908803600003, 4.737454361999994], [-74.01917944399997, 4.73743540700002], [-74.01925412600002, 4.73736702299999], [-74.019288765, 4.737315939999973], [-74.01929881400002, 4.737301118000004], [-74.01930933099999, 4.7372856090000255], [-74.01933214399997, 4.737211279000007], [-74.01933531899999, 4.7372009320000075], [-74.01934309199999, 4.737137087000007], [-74.01935157600002, 4.737067396999975], [-74.01933571799998, 4.7370076849999805], [-74.01932562399998, 4.7369696819999945], [-74.019166536, 4.737031535000028], [-74.01911458500001, 4.737073866000002], [-74.01905614499998, 4.737090138999974], [-74.01865686299999, 4.7369272110000225], [-74.01811473700002, 4.7367609980000225], [-74.018004362, 4.7367381770000065], [-74.01789072600002, 4.736787009000011], [-74.01769593699998, 4.7368000000000166], [-74.01762127900002, 4.73674461600001], [-74.01762130499998, 4.736614335000012], [-74.01717657400002, 4.736441625999987], [-74.017066199, 4.736422061999974], [-74.01687140299998, 4.7364643650000176], [-74.01671557200001, 4.736470848999999], [-74.016572731, 4.73645779200001], [-74.01650456700003, 4.736395895999976], [-74.016511095, 4.736223274999986], [-74.01611505400001, 4.736086401000022], [-74.01533792800001, 4.735821914999974], [-74.01509067799998, 4.735736960999986], [-74.01488732500002, 4.735679113000003], [-74.01470502799998, 4.735609705000001], [-74.014778401, 4.735482846000024], [-74.01487453700003, 4.735358529999985], [-74.01480120600002, 4.735274779000008], [-74.01479615599999, 4.735236715999974], [-74.01411325499998, 4.735282252999979], [-74.01411577599998, 4.735317778000023], [-74.013754114, 4.735228893999988], [-74.01381988899999, 4.735157857999979], [-74.01365550499997, 4.735076626000022], [-74.013655487, 4.735165438000024], [-74.01323567200001, 4.734982655999999], [-74.01321291199997, 4.734969964000015], [-74.01330904100001, 4.734876096999983], [-74.01346841200001, 4.734728956000026], [-74.01354683699998, 4.734635086000025], [-74.01364801699998, 4.734576745000026], [-74.01373653799999, 4.734591987999976], [-74.01381242600002, 4.734533641999974], [-74.01373402899998, 4.7344930259999956], [-74.01380992899999, 4.734373780999988], [-74.013703706, 4.7343534600000226], [-74.01362020300002, 4.734541214999978], [-74.01336976599998, 4.734759386999996], [-74.01318762400001, 4.734944584000004], [-74.01303078000001, 4.735104411999998], [-74.012987791, 4.735068878999982], [-74.012947392, 4.734723776000009], [-74.012937314, 4.73453600099998], [-74.01233661499998, 4.734302468999999], [-74.01154150600001, 4.733955643999991], [-74.00968222300003, 4.733153598000001], [-74.008095019, 4.732464481000022], [-74.00800293700001, 4.730875056999991], [-74.010300153, 4.73174342599998], [-74.01272497399998, 4.732782543999974], [-74.01296611100003, 4.7325264940000125], [-74.013249873, 4.73187207799998], [-74.01330303700001, 4.731783141999983], [-74.01366034, 4.731889695000006], [-74.01414500099997, 4.732028218999971], [-74.01442447800002, 4.732099263999998], [-74.01453414999997, 4.732106385000008], [-74.01530180999998, 4.732394038999984], [-74.01536547500001, 4.73248278699998], [-74.01537253599997, 4.732557326000005], [-74.015400812, 4.732692209999982], [-74.015464485, 4.732734815000014], [-74.01565197600002, 4.73282003700001], [-74.01574748500002, 4.732887495999989], [-74.01586066800002, 4.733033044000023], [-74.01612243099999, 4.733235411000009], [-74.01677330400003, 4.733725357000025], [-74.01702446500002, 4.733870932000002], [-74.017760238, 4.734414134000019], [-74.01794417500003, 4.734584541999993], [-74.01827314899998, 4.734840163000001], [-74.018817904, 4.735248451000018], [-74.018977097, 4.7353123710000204], [-74.01940525399999, 4.734932667999999], [-74.019635187, 4.734949970999991], [-74.01972543599999, 4.735026396000023], [-74.02003567499997, 4.7352471899999955], [-74.02034873600002, 4.735470814999985], [-74.02047002699999, 4.7354708390000155], [-74.02058285300001, 4.73549066999999], [-74.02060259199999, 4.735530292000021], [-74.02086205500001, 4.735765225000022], [-74.02092561400002, 4.735826492000001], [-74.02090324, 4.7358505909999735], [-74.02088858600001, 4.735987566999995], [-74.02086417599998, 4.736136768999983], [-74.02085928700001, 4.73620648100001], [-74.02087510299998, 4.736370367999995], [-74.020923842, 4.736493902999996], [-74.02101585700001, 4.7366186680000055], [-74.021329095, 4.736929374999988], [-74.021401002, 4.7370211150000054], [-74.02151434500001, 4.737171568000007], [-74.02152612600003, 4.737271914000018], [-74.02144750999997, 4.737599448000025], [-74.02144503199997, 4.737727511999992], [-74.02140080700002, 4.7379220619999955], [-74.02136630799998, 4.738091584000017], [-74.02125155300001, 4.738141741999982], [-74.02108386200001, 4.7380679170000235], [-74.02097846999999, 4.738046748999977], [-74.02095736400003, 4.738042509000024], [-74.020896784, 4.738030342000001], [-74.02088711099998, 4.7380282020000095]]]"
SANTA CECILIA PARTE BAJA-USAQUÉN,4,0,1,0,0,1,0,2,"[[[-74.02026019700003, 4.739891563000014], [-74.020274014, 4.739753226999994], [-74.020294724, 4.739607975000012], [-74.0202984, 4.739582034000022], [-74.02033442200002, 4.739327847000026], [-74.02085493800001, 4.739443805000007], [-74.02140130800001, 4.739558040000019], [-74.02147199799998, 4.739454297999998], [-74.02145483999999, 4.739041008000015], [-74.02143274100001, 4.738518546000023], [-74.021432532, 4.738513586999999], [-74.02142054699999, 4.738093380000009], [-74.02152913200001, 4.738112423000018], [-74.02159117399998, 4.738157393999983], [-74.02191518699999, 4.738318274999983], [-74.02209959499999, 4.738423792999981], [-74.022201279, 4.73848260599999], [-74.02228227900002, 4.738543144999994], [-74.02240119300001, 4.738626169999975], [-74.022480449, 4.738797379999994], [-74.02257865399997, 4.7390204710000035], [-74.02259176299998, 4.739057214000013], [-74.02251831500001, 4.739084439999999], [-74.02217700900002, 4.7392209849999745], [-74.022090735, 4.739708613999994], [-74.02177359699999, 4.739648030000012], [-74.02174774000002, 4.739667047000011], [-74.02167352200001, 4.740199637999978], [-74.02101167199999, 4.740059443000006], [-74.02026019700003, 4.739891563000014]]]"
SANTA CECILIA-ENGATIVÁ,49,2,8,5,10,11,5,8,"[[[-74.11201419600002, 4.680716399999994], [-74.11202709600002, 4.680697479999992], [-74.11165029199998, 4.680359091000013], [-74.11124657200003, 4.680007992000014], [-74.11070511399998, 4.679520266999986], [-74.11023015299997, 4.679089733000012], [-74.10967444800002, 4.678584532000002], [-74.10955387400003, 4.678475084000012], [-74.10922640199999, 4.678177828000002], [-74.109427971, 4.677951113000006], [-74.10906698999997, 4.677602637000006], [-74.10887274100003, 4.677389980999976], [-74.10884356399998, 4.677361922999978], [-74.10904053600001, 4.677100890000019], [-74.109058775, 4.677076494000004], [-74.109086736, 4.677096012999982], [-74.10926547100001, 4.676869134000014], [-74.10940043300002, 4.676692265999975], [-74.10952931600002, 4.676517836000016], [-74.10968251700001, 4.676315353000006], [-74.10983503099999, 4.676104061999979], [-74.10986125199997, 4.676067735999993], [-74.109907454, 4.676010405999989], [-74.11008740300002, 4.675784745999976], [-74.11022479799999, 4.675601778999976], [-74.11029653399999, 4.675506636000022], [-74.11042176900003, 4.675345624999977], [-74.11068804500002, 4.675006525000014], [-74.11090082200002, 4.674736952999978], [-74.11109566699997, 4.674489739000023], [-74.11123860700002, 4.67463795499998], [-74.11128058000003, 4.674681475999989], [-74.11137207500002, 4.674776214000019], [-74.11148006500002, 4.674887012999988], [-74.111537951, 4.674945593000018], [-74.11161719199998, 4.675024296000003], [-74.11168208100003, 4.675088744999982], [-74.11170158300001, 4.675103985000021], [-74.11177110099999, 4.675158312000007], [-74.111870404, 4.675235912000005], [-74.111971144, 4.675320740000017], [-74.11205819000003, 4.67539439799998], [-74.112101387, 4.675430951999999], [-74.112107858, 4.675436427000022], [-74.11212192800002, 4.675446871000019], [-74.11248537099999, 4.6757166520000055], [-74.11256638499998, 4.675846379000006], [-74.11273014400001, 4.676015892999998], [-74.11276687100002, 4.676068623999981], [-74.112938461, 4.676295132000007], [-74.11314767200003, 4.676580570999988], [-74.113322933, 4.6768190490000165], [-74.11342661999998, 4.676959926999984], [-74.113400598, 4.677027473999999], [-74.11335850199998, 4.67713674700002], [-74.113324508, 4.677224985999998], [-74.11335462599999, 4.677242111999987], [-74.11341938300001, 4.677278935999993], [-74.11345441499998, 4.677301843999998], [-74.11352893200001, 4.677350610000019], [-74.11357088599999, 4.677396217000023], [-74.11364302499999, 4.677474639000024], [-74.11334576500002, 4.677786119000018], [-74.11315326099998, 4.677993103999995], [-74.11308776800001, 4.67806249900002], [-74.11301384699999, 4.678140824000024], [-74.11297264500001, 4.6781122020000225], [-74.11295924299998, 4.678135076999979], [-74.11286645799998, 4.678293457999984], [-74.11304765099999, 4.678414534000012], [-74.113368476, 4.678626171000019], [-74.11365560799999, 4.678816159000007], [-74.11372629800002, 4.678862618999971], [-74.113756981, 4.678882783999995], [-74.11357066400001, 4.679068889000006], [-74.11327480599999, 4.679404415000021], [-74.11285031300002, 4.679871138999999], [-74.11260376500002, 4.680155045999981], [-74.11253087199998, 4.680228171999999], [-74.11234006500001, 4.680447555], [-74.11206778799999, 4.680761571999994], [-74.11201419600002, 4.680716399999994]]]"
SANTA CECILIA-FONTIBÓN,87,15,21,10,5,12,14,10,"[[[-74.12140276899999, 4.67238494999998], [-74.12141360499999, 4.672455430000013], [-74.12166894199999, 4.6728929359999825], [-74.12222178000002, 4.67372487099999], [-74.12266820299999, 4.674397268999996], [-74.12294283900002, 4.674577363000025], [-74.12232165500001, 4.675337495999997], [-74.12194628200001, 4.675529637000011], [-74.12159934499999, 4.675717330999987], [-74.12072401299997, 4.676158810000004], [-74.12054018700002, 4.675709230999984], [-74.120229822, 4.674973986999987], [-74.12004113199998, 4.674685140000008], [-74.11964932500001, 4.674096145000021], [-74.11920128700001, 4.67341894399999], [-74.118982475, 4.673089842000024], [-74.11910128699998, 4.67305199399999], [-74.11928239299999, 4.6729484730000195], [-74.11962932300003, 4.672914239000022], [-74.11994809700002, 4.672895327999981], [-74.120104282, 4.672882835999985], [-74.120510196, 4.672813930000018], [-74.12062900799998, 4.672770078999974], [-74.12100085899999, 4.6726133889999915], [-74.12140276899999, 4.67238494999998]]]"
SANTA CLARA-TEUSAQUILLO,3,0,1,0,0,1,1,0,"[[[-74.09556690599999, 4.634610216999988], [-74.09563455400001, 4.634538581000015], [-74.09597565799999, 4.634188548999986], [-74.095921094, 4.634096630999977], [-74.09609651199997, 4.634004730000015], [-74.096256337, 4.633928473000025], [-74.096131619, 4.633689875000015], [-74.09665543, 4.633432147000007], [-74.096731707, 4.633324876000017], [-74.09664659700002, 4.633160194000026], [-74.09667928599998, 4.633144481999977], [-74.09694011099998, 4.6330139940000095], [-74.09695032399998, 4.633039960000019], [-74.097032044, 4.632999652000023], [-74.09698097900002, 4.632897836999973], [-74.09689745999998, 4.632719716999986], [-74.09753783000002, 4.632402947000002], [-74.09781720400002, 4.632235331999993], [-74.09824686000002, 4.632676117000016], [-74.09860210400001, 4.633040563000008], [-74.098184774, 4.633229372000016], [-74.09799514500003, 4.633356201000026], [-74.097700132, 4.633994620999999], [-74.097489408, 4.634451238999986], [-74.09717336400001, 4.634586512999987], [-74.09663819299999, 4.634861295999996], [-74.095900755, 4.6352248540000005], [-74.09579095700002, 4.63527694999999], [-74.09570651299998, 4.635160718000008], [-74.09562308, 4.634835477000024], [-74.09562503000001, 4.634716679000007], [-74.095582337, 4.634634880000021], [-74.09556690599999, 4.634610216999988]]]"
SANTA FE-LOS MÁRTIRES,371,37,61,46,53,52,65,57,"[[[-74.07496271299999, 4.618399119999992], [-74.07296096699997, 4.6155704359999845], [-74.072828039, 4.615403684999989], [-74.07287415399998, 4.615303557999993], [-74.072913153, 4.615218882000021], [-74.073111385, 4.614788470999997], [-74.073134402, 4.614739439999993], [-74.07313757399999, 4.614732683999989], [-74.07316369, 4.614676895999991], [-74.073189877, 4.614621250000027], [-74.073216205, 4.614565533000018], [-74.07326886099997, 4.614454240999975], [-74.073295331, 4.614398735999998], [-74.07332179899998, 4.614343089999977], [-74.07334826800002, 4.6142875140000115], [-74.073401628, 4.614176504999989], [-74.07342837700003, 4.6141210000000115], [-74.07345519799998, 4.614065566000022], [-74.07348194899998, 4.61401020300002], [-74.07350884099998, 4.613954838999973], [-74.07356276299998, 4.613844111999981], [-74.07361696700002, 4.613733525999975], [-74.07367131199999, 4.613623082000003], [-74.07369862500002, 4.613567858999999], [-74.07372593899998, 4.613512707999973], [-74.07375332200002, 4.613457556000014], [-74.07378077599998, 4.613402404999988], [-74.07380830099999, 4.613347394000015], [-74.073835895, 4.613292311999998], [-74.07386342000001, 4.613237303000005], [-74.07389108500001, 4.613182363000021], [-74.07391882000002, 4.613127281999993], [-74.07394662600001, 4.613072342999998], [-74.073974432, 4.6130174730000135], [-74.07400230799999, 4.612962604000017], [-74.07403025500003, 4.612907735000021], [-74.074058272, 4.612852866000025], [-74.07408628799999, 4.612798068000017], [-74.07411444600001, 4.612743339000019], [-74.07414260399997, 4.612688541000011], [-74.07417090299998, 4.61263388399999], [-74.07419906000001, 4.612579155999981], [-74.07422743000001, 4.6125244980000275], [-74.07425572800003, 4.612469911999994], [-74.07428423699997, 4.612415324999972], [-74.07431281700002, 4.612360668999997], [-74.07434125600003, 4.612306223000018], [-74.07436990600002, 4.612251565999997], [-74.074398556, 4.6121971919999964], [-74.07442727699998, 4.612142746000017], [-74.07445606800002, 4.612088300999971], [-74.074484859, 4.6120339249999915], [-74.07451372100002, 4.61197955099999], [-74.07454272199999, 4.611925176999989], [-74.07457165400001, 4.611870872999986], [-74.07460072600003, 4.611816638999982], [-74.07462980000003, 4.61176233499998], [-74.07465894199999, 4.6117081720000215], [-74.07468822599998, 4.611653939000007], [-74.07471743899998, 4.61159977699998], [-74.07474679299997, 4.61154568400002], [-74.07477607599998, 4.611491591999993], [-74.07480557100001, 4.611437498999976], [-74.07483481000003, 4.611383817999978], [-74.074834995, 4.611383477999993], [-74.07486470200001, 4.61132945700001], [-74.074894196, 4.6112755049999805], [-74.07492390200002, 4.611221554999986], [-74.07495353799999, 4.611167534000003], [-74.07498331300002, 4.611113724000006], [-74.07501309000003, 4.61105984400001], [-74.07504286599999, 4.611006034000013], [-74.07507292399998, 4.610952224000016], [-74.07510284, 4.610898485000007], [-74.07513289799999, 4.610844816999986], [-74.075162885, 4.610791006999988], [-74.07519308399998, 4.610737339000024], [-74.07522328200002, 4.610683741999992], [-74.07528381899999, 4.610576546000004], [-74.07531423, 4.610522877999983], [-74.07534456799999, 4.610469421999994], [-74.07537504800001, 4.610415965000015], [-74.075404332, 4.610361872999988], [-74.075524707, 4.610109135000016], [-74.07552511, 4.610108324999998], [-74.07553513300002, 4.6100881660000255], [-74.07567553899997, 4.610200443999986], [-74.07620242600001, 4.61061384300001], [-74.076664499, 4.610960093000017], [-74.07757609700002, 4.611688259000004], [-74.07846469999998, 4.612382851000006], [-74.07915049299999, 4.612920057999986], [-74.07999728099998, 4.613583171000016], [-74.08080853000001, 4.61419172699999], [-74.08111170199999, 4.614420458999973], [-74.08147600000001, 4.614685156999996], [-74.08161839000002, 4.614933928000027], [-74.08201984800002, 4.615525373000025], [-74.082324567, 4.615919550000001], [-74.08217263900002, 4.6160658210000065], [-74.081833561, 4.61643369799998], [-74.081588071, 4.616724617999977], [-74.08146992899998, 4.616872386000011], [-74.08101883799998, 4.617446529999995], [-74.08054473300001, 4.618032986000002], [-74.08010284800002, 4.61858096100002], [-74.07984507600003, 4.6189503859999945], [-74.07970392599998, 4.619053510000014], [-74.07923751700002, 4.6193767309999885], [-74.07951514899997, 4.619812405000004], [-74.079665471, 4.620043328000008], [-74.07967313199998, 4.620124916000008], [-74.07958837199999, 4.620184761000018], [-74.07936515699998, 4.620332861999997], [-74.07902974400002, 4.6205627150000055], [-74.07881715899998, 4.620691856999997], [-74.07839435199998, 4.620944215000008], [-74.07788060399997, 4.621266478999984], [-74.07744125900001, 4.621550829], [-74.07726628500001, 4.621654282000008], [-74.07496271299999, 4.618399119999992]]]"
SANTA FELISA-USAQUÉN,2,0,0,0,0,0,0,2,"[[[-74.02828823099998, 4.75862771200002], [-74.02833365599997, 4.758749696999984], [-74.02833500499997, 4.7587533199999825], [-74.02832474600001, 4.758800636999978], [-74.02744222799998, 4.758793545999992], [-74.02731275399998, 4.758498980000013], [-74.02707970099999, 4.757954899000026], [-74.02698648, 4.7577400380000086], [-74.02769977000003, 4.757627549999995], [-74.02772368199999, 4.757624048000025], [-74.02791577400001, 4.757595918999982], [-74.02807942700002, 4.758049932000005], [-74.02828823099998, 4.75862771200002]]]"
SANTA HELENA-CIUDAD BOLÍVAR,2,0,0,0,2,0,0,0,"[[[-74.17354436699998, 4.579235550000021], [-74.17369975499997, 4.579169304000004], [-74.17378357199999, 4.579143100999999], [-74.17395085300001, 4.579071982000016], [-74.17435832500001, 4.578926561000002], [-74.174404777, 4.579081148999989], [-74.17443870199997, 4.579213915000025], [-74.17445890200003, 4.579289549000009], [-74.17460191599997, 4.579619413999978], [-74.174732119, 4.579904648000024], [-74.17486556099999, 4.580220177000001], [-74.174957689, 4.580411416000004], [-74.17508162899998, 4.580675674000019], [-74.17523851099998, 4.581160199000009], [-74.17527194299998, 4.581254899999976], [-74.17529594400003, 4.581322764999981], [-74.17494385499998, 4.581428355000014], [-74.174851026, 4.581291494000026], [-74.17453826399998, 4.58091318800001], [-74.174265617, 4.580583256000011], [-74.173984878, 4.580221051000023], [-74.17354436699998, 4.579235550000021]]]"
SANTA HELENA-SUBA,71,9,9,5,8,10,19,11,"[[[-74.059413581, 4.729799650000018], [-74.05858869600002, 4.729627789000005], [-74.05776814699999, 4.7294635810000045], [-74.05785316100003, 4.729040586999985], [-74.05786680099999, 4.728972719000012], [-74.05813573199998, 4.727698829000019], [-74.058385166, 4.726585152999973], [-74.05852270000003, 4.7259416549999855], [-74.05868510599998, 4.725999634999993], [-74.05929848199997, 4.726218615999982], [-74.059333605, 4.726234228000009], [-74.059547861, 4.726329523999993], [-74.06006731600002, 4.726517161999993], [-74.060077337, 4.726520703000005], [-74.06054981900002, 4.726687633999972], [-74.06091090299998, 4.726828640000007], [-74.06124538199998, 4.726948456999991], [-74.061525319, 4.7270510459999855], [-74.061640184, 4.727093140000022], [-74.06186489999999, 4.7271721760000105], [-74.06193264199999, 4.727196002000027], [-74.06208683300002, 4.727253038000014], [-74.06215914799998, 4.727279786999986], [-74.06221408200003, 4.727302952000002], [-74.062261842, 4.727323091000016], [-74.062384877, 4.727378261000012], [-74.06250650800001, 4.727406808000012], [-74.06256176199997, 4.727424310999992], [-74.06256141799997, 4.727514466999991], [-74.062467465, 4.728904725999996], [-74.06245156400001, 4.729154483000002], [-74.06210472499998, 4.729023229000006], [-74.06212217000001, 4.728722005000008], [-74.06217231900001, 4.727894730999992], [-74.06220979599999, 4.727363688000025], [-74.06186076400002, 4.72724526799999], [-74.06168784599998, 4.730300472999999], [-74.061011329, 4.730183359000022], [-74.059413581, 4.729799650000018]]]"
